WNV_Present,Trap_type_CDC,Trap_type_GRAVID,Trap_type_SENTINEL,Species_CULEX_PIPIENS,Species_CULEX_RESTUANS,Species_CULEX_SALINARIUS,Species_CULEX_TERRITANS,Year,Week,Month,Lat,Lon,Mosquito_number
0,0,1,0,0,1,0,0,2013,31,8,41.69549407,-87.60908177,7
0,0,1,0,0,1,0,0,2013,31,8,41.7730854,-87.60016756,1
0,0,1,0,1,0,0,0,2013,31,8,41.67688732,-87.66122193,3
0,0,1,0,0,1,0,0,2013,31,8,41.67688732,-87.66122193,6
0,0,1,0,1,0,0,0,2013,31,8,41.86759925,-87.69578544,5
0,0,1,0,1,0,0,0,2013,31,8,41.86691518,-87.65491884,1
0,0,1,0,0,1,0,0,2013,31,8,41.86691518,-87.65491884,16
0,0,1,0,1,0,0,0,2013,31,8,41.66238673,-87.59017973,7
0,0,1,0,1,0,0,0,2013,31,8,41.65706888,-87.54604887,4
0,0,1,0,0,1,0,0,2013,31,8,41.65706888,-87.54604887,6
0,0,1,0,0,1,0,0,2013,31,8,41.90477345,-87.75568575,3
0,0,1,0,0,1,0,0,2013,31,8,41.90728487,-87.70139464,1
0,0,1,0,0,1,0,0,2013,31,8,41.91305186,-87.66790524,1
0,0,1,0,0,1,0,0,2013,31,8,41.91356758,-87.7263003,1
1,0,1,0,1,0,0,0,2013,31,8,41.7212875,-87.6652357,4
1,0,1,0,1,0,0,0,2013,31,8,41.72128931,-87.66522598,4
1,0,1,0,1,0,0,0,2013,31,8,41.72128976,-87.66523416,4
1,0,1,0,1,0,0,0,2013,31,8,41.72128996,-87.66522598,4
1,0,1,0,1,0,0,0,2013,31,8,41.72129748,-87.66523181,4
0,0,1,0,0,1,0,0,2013,31,8,41.9470445,-87.67306105,5
1,0,1,0,1,0,0,0,2013,31,8,41.9470445,-87.67306105,12
1,0,1,0,1,0,0,0,2013,31,8,41.94704968,-87.6730581,12
0,0,1,0,0,1,0,0,2013,31,8,41.88377178,-87.71616837,16
0,0,1,0,0,1,0,0,2013,31,8,41.92273665,-87.63244997,1
0,0,1,0,0,1,0,0,2013,31,8,41.80104786,-87.68042473,21
0,0,1,0,0,1,0,0,2013,31,8,41.76848567,-87.67946343,1
0,0,1,0,1,0,0,0,2013,31,8,41.70468721,-87.56423556,11
0,0,1,0,0,1,0,0,2013,31,8,41.70468721,-87.56423556,7
0,0,1,0,0,1,0,0,2013,31,8,41.89221998,-87.69169773,3
1,0,1,0,1,0,0,0,2013,31,8,41.93279021,-87.70023788,27
1,0,1,0,1,0,0,0,2013,31,8,41.93279183,-87.70023371,27
1,0,1,0,1,0,0,0,2013,31,8,41.93279318,-87.70023373,27
1,0,1,0,1,0,0,0,2013,31,8,41.93279516,-87.70023771,27
1,0,1,0,1,0,0,0,2013,31,8,41.93279522,-87.70023086,27
1,0,1,0,1,0,0,0,2013,31,8,41.93279747,-87.70022814,27
1,0,1,0,1,0,0,0,2013,31,8,41.93279786,-87.7002322,27
1,0,1,0,0,1,0,0,2013,31,8,41.93279021,-87.70023788,10
1,0,1,0,0,1,0,0,2013,31,8,41.93279366,-87.70023285,10
1,0,1,0,0,1,0,0,2013,31,8,41.93279436,-87.70023264,10
